Name                                Stmts   Miss  Cover
-------------------------------------------------------
chain\__init__.py                       0      0   100%
chain\admin.py                         24      5    79%
chain\apps.py                           4      0   100%
chain\migrations\0001_initial.py        6      0   100%
chain\migrations\__init__.py            0      0   100%
chain\models.py                        20      1    95%
chain\serializers.py                    9      0   100%
chain\tests\__init__.py                 0      0   100%
chain\tests\test_admin.py              14      4    71%
chain\tests\test_linkchain_api.py      58      0   100%
chain\tests\test_models.py              6      0   100%
chain\urls.py                           6      0   100%
chain\views.py                         13      0   100%
config\__init__.py                      0      0   100%
config\asgi.py                          4      4     0%
config\settings.py                     25      0   100%
config\urls.py                          4      0   100%
config\wsgi.py                          4      4     0%
manage.py                              11      2    82%
-------------------------------------------------------
TOTAL                                 208     20    90%
